model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
2,2019,15489,1,5636.0,0,145,68.9,1.5
18,2019,22489,1,8224.0,0,145,56.5,2.0
18,2019,22489,1,4000.0,0,145,56.5,2.0
5,2015,5998,1,55898.0,0,0,78.5,1.5
6,2017,10998,1,28001.0,4,145,60.1,1.0
13,2014,11498,1,36052.0,0,160,47.9,2.0
15,2016,24999,2,42086.0,4,570,23.5,5.0
13,2017,15298,1,34673.0,0,125,60.1,2.0
3,2018,19498,1,22068.0,0,145,48.7,2.0
6,2019,16998,1,19936.0,4,145,60.1,1.0
10,2017,13998,1,4856.0,0,145,61.4,1.5
0,2017,11298,2,1397.0,4,165,44.1,1.6
6,2017,13398,0,21649.0,4,145,46.3,1.5
6,2017,17798,1,10345.0,4,145,41.5,2.0
13,2018,14998,1,14960.0,0,145,64.2,1.5
6,2015,13998,1,35689.0,4,205,41.5,2.0
2,2017,9189,1,31998.0,4,145,44.8,1.5
5,2018,10399,1,7200.0,4,145,65.7,1.0
3,2017,23899,0,27146.0,0,145,47.9,2.0
5,2013,5330,1,66937.0,4,30,54.3,1.2
2,2019,15985,1,5099.0,4,145,51.4,1.0
5,2015,7485,1,11092.0,4,125,54.3,1.2
13,2019,21999,0,6000.0,4,145,29.1,1.5
5,2017,10850,1,23634.0,4,150,65.7,1.0
13,2019,23250,2,9931.0,0,145,38.7,2.0
5,2016,7999,1,22633.0,4,0,65.7,1.0
12,2018,7999,1,9355.0,4,145,57.7,1.2
13,2013,7999,1,78170.0,0,200,47.9,2.0
6,2016,9699,1,13480.0,4,20,60.1,1.0
15,2019,39998,0,5000.0,4,145,22.6,5.0
5,2017,8500,1,15060.0,4,125,54.3,1.2
5,2016,9998,1,18912.0,4,0,65.7,1.0
6,2019,15995,1,6992.0,4,145,60.1,1.0
5,2017,11495,1,17766.0,4,145,65.7,1.0
5,2019,14698,1,8725.0,4,145,58.9,1.0
5,2016,9998,1,6820.0,4,0,65.7,1.0
13,2013,9498,1,29326.0,0,200,47.9,2.0
5,2017,10698,2,11235.0,4,0,57.7,1.0
13,2016,13499,1,38687.0,0,145,54.3,2.0
13,2017,15999,1,15005.0,0,145,54.3,2.0
13,2017,17299,1,14224.0,0,145,54.3,2.0
6,2019,14198,1,20205.0,4,150,58.9,1.0
2,2016,10898,1,13093.0,4,125,52.3,1.0
5,2019,17298,2,1434.0,4,150,48.7,1.0
0,2013,5998,2,44582.0,4,165,44.1,1.6
14,2015,9998,1,55621.0,0,30,64.2,2.0
12,2017,6998,1,21203.0,4,30,57.7,1.2
6,2017,16698,1,24498.0,0,145,67.3,2.0
6,2018,17298,1,3124.0,4,145,60.1,1.0
13,2017,15498,1,31073.0,0,125,60.1,2.0
13,2017,14298,1,6345.0,0,145,54.3,2.0
1,2016,9998,1,26138.0,0,20,68.9,1.5
13,2019,22998,1,593.0,0,145,47.9,2.0
6,2018,11598,1,11654.0,4,145,61.4,1.0
5,2018,10498,1,17532.0,4,145,65.7,1.0
2,2017,8698,1,36124.0,4,160,44.8,1.5
6,2017,17498,1,13558.0,4,200,41.5,2.0
2,2018,12499,1,13000.0,0,145,67.3,1.5
12,2018,9250,1,7812.0,4,145,47.9,1.2
6,2017,16250,1,28113.0,0,145,67.3,2.0
2,2017,9999,1,24130.0,4,150,52.3,1.0
6,2017,10999,1,23973.0,4,150,60.1,1.0
13,2019,18494,1,11858.0,0,145,38.2,2.0
5,2019,13489,2,26799.0,4,145,48.7,1.0
5,2014,6995,1,35084.0,4,0,65.7,1.0
5,2018,11995,1,12080.0,4,150,65.7,1.0
5,2017,10498,1,9621.0,4,145,65.7,1.0
6,2017,11300,1,13300.0,4,145,60.1,1.0
5,2018,11800,1,14024.0,4,145,62.8,1.0
6,2017,10800,1,17668.0,4,145,60.1,1.0
5,2016,8300,1,43121.0,4,0,65.7,1.0
6,2018,18499,1,14682.0,4,145,41.5,2.0
6,2014,6800,1,53500.0,4,30,56.5,1.0
13,2018,17000,1,15513.0,4,145,45.6,1.5
5,2017,8998,1,16701.0,0,0,78.5,1.5
5,2014,5698,1,51892.0,4,30,54.3,1.2
2,2017,8998,1,20648.0,4,160,44.8,1.5
13,2016,14998,1,38206.0,0,145,54.3,2.0
13,2017,18500,1,13692.0,0,145,54.3,2.0
13,2019,19298,1,12287.0,4,145,39.2,1.5
13,2014,10798,1,49989.0,0,160,47.9,2.0
6,2019,15998,1,12699.0,4,145,60.1,1.0
5,2015,7298,1,36700.0,4,0,65.7,1.0
2,2017,10298,1,25013.0,4,150,53.3,1.0
5,2017,10698,1,16505.0,4,0,65.7,1.0
5,2019,13998,1,5887.0,4,145,58.9,1.0
13,2013,8298,1,63508.0,0,145,53.3,2.0
6,2016,8998,1,36087.0,0,0,74.3,1.5
1,2016,11298,1,11117.0,4,30,55.4,1.0
